Fed,YYYY,SunOfRatings
AHO,1991,15590
ALB,1991,32035
ALG,1991,24550
AND,1991,13435
ANG,1991,17870
ARG,1991,622195
ARM,1991,54400
AUS,1991,154665
AUT,1991,405480
AZE,1991,27560
BAN,1991,28840
BAR,1991,17655
BEL,1991,151480
BER,1991,11035
BIH,1991,111130
BLR,1991,63310
BOL,1991,26290
BOT,1991,13060
BRA,1991,155725
BRN,1991,11100
BRU,1991,2205
BUL,1991,593635
CAN,1991,223620
CHI,1991,132570
CHN,1991,114745
COL,1991,134650
CRC,1991,45335
CRO,1991,459650
CUB,1991,350745
CYP,1991,15590
CZE,1991,585060
DEN,1991,352690
DOM,1991,35950
ECU,1991,44965
EGY,1991,43775
ENG,1991,654860
ESA,1991,11475
ESP,1991,456700
EST,1991,39595
FAI,1991,9110
FIJ,1991,4435
FIN,1991,181765
FRA,1991,511300
FRM,1991,99905
GCI,1991,11240
GEO,1991,117225
GER,1991,2602725
GHA,1991,6615
GRE,1991,236725
GUA,1991,28690
GUY,1991,2210
HAI,1991,4425
HKG,1991,33760
HON,1991,24540
HUN,1991,1148930
INA,1991,95090
IND,1991,244555
IRI,1991,11265
IRL,1991,91910
IRQ,1991,32900
ISL,1991,174530
ISR,1991,394710
ISV,1991,11180
ITA,1991,371255
IVB,1991,2220
JAM,1991,12955
JOR,1991,6685
JPN,1991,28710
KAZ,1991,34800
KEN,1991,8830
KGZ,1991,16355
KUW,1991,4450
LAT,1991,34210
LBA,1991,15435
LIB,1991,17560
LIE,1991,4410
LTU,1991,20810
LUX,1991,33915
MAR,1991,13675
MAS,1991,44220
MDA,1991,23225
MEX,1991,214740
MGL,1991,53095
MLI,1991,8820
MLT,1991,19855
MNC,1991,17875
MRI,1991,4410
NCA,1991,20425
NED,1991,441880
NGR,1991,12835
NOR,1991,209015
NZL,1991,73910
PAK,1991,54170
PAN,1991,17835
PAR,1991,20475
PER,1991,34790
PHI,1991,130965
PLE,1991,6655
POL,1991,1139075
POR,1991,83900
PUR,1991,37420
QAT,1991,8985
ROM,1991,524120
RSA,1991,4600
RUS,1991,1635930
SCO,1991,96755
SEN,1991,8830
SIN,1991,74775
SLO,1991,207665
SMR,1991,4410
SRI,1991,31515
SUD,1991,6615
SUI,1991,265635
SUR,1991,13245
SVK,1991,146695
SWE,1991,417495
SYR,1991,30905
THA,1991,22530
TJK,1991,9165
TKM,1991,4770
TRI,1991,13010
TUN,1991,29620
TUR,1991,61105
